comment;LABEL
"RT @dishub_aceh: Nano Setiawan menyebutkan, penerbangan umrah dengan
Garuda Indonesia nantinya akan menggunakan pesawat Boeing
777-300 deng…;positif,positif";positif
RT @dishub_aceh: Rombongan calon jemaah haji embarkasi Aceh kelompok terbang (kloter) pertama telah berangkat dari Bandara Internasional Su…;positif
RT @nnyls_: @elsyandria Biasanya yang 'High Value' naik pesawat nya Garuda Indonesia + Bisnis class. Kan punya penghasilan sendiri;positif
Penggemar Pikachu cobaa absen manaa suaranyaaa!?!???? Ada kabar gembira karena maskapai Garuda Indonesia akan segera meluncurkan pesawat dengan desain livery (badan pesawat) Pikachu ? Sampai saat ini desain nyaa masih dalam proses Londoners;positif
Ratusan Jemaah Haji Batal Terbang ke Tanah Suci karena Pesawat Garuda Indonesia Rusak https://t.co/NwCGzxcDiY;negatif
"Moment langka subuh tadi. Dimana 3 pesawat berbadan lebar berada dalam 1 apron.
Garuda Indonesia, Airbus A330-300, 9H-LEON, PK-GPZ, & PK-GHA https://t.co/cB6isitdhK;";positif
Ratusan Jemaah Haji Batal Terbang ke Tanah Suci karena Pesawat Garuda Indonesia Rusak https://t.co/gZtUXSjixA;negatif
"Protes Keras, Kemenag Minta Garuda Komitmen dengan Jadwal Penerbangan.

Kemenag melayangkan protes ke Garuda Indonesia soal keberangkatan jemaah haji yang tertunda akibat kerusakan teknis pesawat. Hal… #Peristiwa #banjarmasin #garuda via @beritajatimcom https://t.co/XWF9VPsIz4;";negatif
Maskapai penerbangan BUMN;positif
ERICK THOHIR |  Erick: Tim Kualifikasi Piala Asia U-23 Naik Pesawat Carter ke Solo - CNN Indonesia | GARUDA MENDUNIA  https://t.co/n9NXooKGbA;positif
Ud biasa..inilah wajah aviasi diindonesia https://t.co/62WdMQJsRm;negatif
"328 Jemaah Haji Tertunda Berangkat, Kemenag Layangkan Protes ke Garuda.

Sejumlah 328 jemaah haji mengalami penundaan keberangkatan akibat adanya kerusakan teknis pesawat. Kemenag melayangkan… #Peristiwa #banjarmasin #garuda #indonesia via @beritajatimcom https://t.co/8trEBF6R2t;positif,positif";negatif
@elsyandria Biasanya yang 'High Value' naik pesawat nya Garuda Indonesia + Bisnis class. Kan punya penghasilan sendiri,positif;positif
Lagi;negatif
RT @Infokomnewscom: Keberangkataan 328 jemaah haji Indonesia kelompok terbang (kloter) 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat ada…;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
Keberangkataan 328 jemaah haji Indonesia kelompok terbang (kloter) 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat adanya kerusakan teknis pesawat Garuda Indonesia. Direktur Layanan Haji dalam Negeri Saiful Mujab menyampaikan protes ke @IndonesiaGaruda atas persoalan ini.;negatif
Keberangkataan 328 jemaah haji Indonesia kelompok terbang 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat ada kerusakan teknis pesawat. https://t.co/t1c1mFnPrd;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
RT @LenteraBangsaa_: Ini Garuda Indonesia kok kaya gini sih tiap tahun pelayanannya gak jelas bgt,negatif;negatif
RT @AkuAtikaFaya: 328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direkt…;negatif
"328 jamaah haji kloter 4 Embarkasi Banjarmasin (BDJ 04) tertunda akibat kerusakan teknis pesawat Garuda Indonesia. Direktur Layanan Haji dalam Negeri Saiful Mujab menyampaikan protes keras ke Garuda sebab
ini bukan kejadian yg pertama

Haji Ramah Lansia
#HajiIndonesia2023 https://t.co/pUYjZBzp36;,negatif";negatif
Direktur Utama Garuda Indonesia Irfan Setiaputra terpaksa menunda keberangkatan jemaah haji di embarkasi Banjarmasin. https://t.co/oRxX6U0KAB;negatif
Garuda Indonesia buka suara soal penyesuaian jadwal penerbangan dan armada pesawat untuk kloter 4 calon jemaah haji pada penerbangan dari embarkasi Banjarmasin. https://t.co/TKmjMYqwuc;positif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @LenteraBangsaa_: Ini Garuda Indonesia kok kaya gini sih tiap tahun pelayanannya gak jelas bgt,negatif;negatif
RT @LenteraBangsaa_: Ini Garuda Indonesia kok kaya gini sih tiap tahun pelayanannya gak jelas bgt,negatif;negatif
RT @LenteraBangsaa_: Ini Garuda Indonesia kok kaya gini sih tiap tahun pelayanannya gak jelas bgt,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @LenteraBangsaa_: Ini Garuda Indonesia kok kaya gini sih tiap tahun pelayanannya gak jelas bgt,negatif;negatif
"Ini Garuda Indonesia kok kaya gini sih tiap tahun pelayanannya gak jelas bgt, delay lama, udah gtu main ganti2 pesawat, gak ada permintaan maaf

Pak @erickthohir direkturnya tolong di tegur pak, kasian loh org2 ketunda lama terus tiap thn lagi

Thn 2019 

https://t.co/mIOy16Dsoe;,negatif";negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @BudiKaryaS: Mengapa kami memilih Bandara Kertajati,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
"Beruntung banget baru pertama kali naik pesawat langsung Garuda Indonesia ??

Gorontalo dari ketinggian ?? https://t.co/JsJLPi506Y;,negatif";negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang;negatif
@gyukaakuu @irfanfahrurrozi @mishagritsenko @flightradar24 @emirates tunjukkan pernyataan resmi ,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
RT @PolJokesID: Ironi dibalik masuknya A380       maskapai kebanggaan Indonesia Garuda Indonesia $GIIA pesawat berkurang,negatif;negatif
